 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7MA;200102;20010208;59;229;188
SLF7MA;200103;20010329;37;229;194
SLF7MA;200104;20010404;15;176;156
SLF7MA;200105;-;0;126;41
SLF7MA;200106;-;-;-;-
SLF7MA;200107;-;-;-;-
SLF7MA;200108;-;-;-;-
SLF7MA;200109;-;-;-;-
SLF7MA;200110;-;0;0;0
SLF7MA;200111;20011127;4;5;1
SLF7MA;200112;20011229;2;3;0
SLF7MA;200201;20020123;14;19;4
SLF7MA;200202;20020206;32;46;30
SLF7MA;200203;20020302;54;95;46
SLF7MA;200204;20020408;7;25;8
SLF7MA;200205;20020503;5;8;1
SLF7MA;200206;-;-;-;-
SLF7MA;200207;-;-;-;-
SLF7MA;200208;-;-;-;-
SLF7MA;200209;-;-;-;-
SLF7MA;200210;20021017;28;28;9
SLF7MA;200211;20021118;29;64;22
SLF7MA;200212;20021227;20;90;61
SLF7MA;200301;20030121;45;125;90
SLF7MA;200302;20030203;17;113;102
SLF7MA;200303;20030306;1;98;85
SLF7MA;200304;20030419;12;57;30
SLF7MA;200305;-;0;1;0
SLF7MA;200306;-;-;-;-
SLF7MA;200307;-;-;-;-
SLF7MA;200308;-;-;-;-
SLF7MA;200309;-;-;-;-
SLF7MA;200310;20031007;15;15;3
SLF7MA;200311;20031127;27;41;24
SLF7MA;200312;20031228;70;126;46
SLF7MA;200401;20040120;12;100;86
SLF7MA;200402;20040221;17;113;90
SLF7MA;200403;20040310;23;130;98
SLF7MA;200404;20040419;24;79;51
SLF7MA;200405;-;-;-;-
SLF7MA;200406;-;-;-;-
SLF7MA;200407;-;-;-;-
SLF7MA;200408;-;-;-;-
SLF7MA;200409;-;-;-;-
SLF7MA;200410;20041016;5;5;0
SLF7MA;200411;20041130;26;20;3
SLF7MA;200412;20041225;39;78;41
SLF7MA;200501;20050131;26;84;59
SLF7MA;200502;20050212;9;91;71
SLF7MA;200503;-;-;-;-
SLF7MA;200504;-;-;-;-
SLF7MA;200505;-;0;0;0
SLF7MA;200506;-;-;-;-
SLF7MA;200507;-;-;-;-
SLF7MA;200508;-;-;-;-
SLF7MA;200509;-;-;-;-
SLF7MA;200510;20051002;15;15;1
SLF7MA;200511;20051125;14;24;3
SLF7MA;200512;-;-;-;-
SLF7MA;200601;20060127;27;86;56
SLF7MA;200602;-;-;-;-
SLF7MA;200603;-;-;-;-
SLF7MA;200604;20060410;25;109;67
SLF7MA;200605;-;0;6;0
SLF7MA;200606;-;-;-;-
SLF7MA;200607;-;-;-;-
SLF7MA;200608;-;-;-;-
SLF7MA;200609;-;-;-;-
SLF7MA;200610;-;0;0;0

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5OB;199701;19970103;2;21;20
SLF5OB;199702;19970226;15;36;27
SLF5OB;199703;19970319;20;30;10
SLF5OB;199704;19970427;2;4;0
SLF5OB;199705;19970506;13;13;1
SLF5OB;199706;-;-;-;-
SLF5OB;199707;-;-;-;-
SLF5OB;199708;-;-;-;-
SLF5OB;199709;-;-;-;-
SLF5OB;199710;-;0;0;0
SLF5OB;199711;19971112;4;4;2
SLF5OB;199712;19971212;30;30;13
SLF5OB;199801;19980119;12;42;21
SLF5OB;199802;19980222;6;26;18
SLF5OB;199803;19980315;9;10;5
SLF5OB;199804;19980410;25;40;12
SLF5OB;199805;-;0;0;0
SLF5OB;199806;-;-;-;-
SLF5OB;199807;-;-;-;-
SLF5OB;199808;-;-;-;-
SLF5OB;199809;-;-;-;-
SLF5OB;199810;19981030;15;15;1
SLF5OB;199811;19981114;9;19;6
SLF5OB;199812;19981205;16;32;17
SLF5OB;199901;19990128;71;122;34
SLF5OB;199902;19990222;37;171;119
SLF5OB;199903;19990304;49;179;130
SLF5OB;199904;19990415;70;165;97
SLF5OB;199905;-;0;37;3
SLF5OB;199906;-;-;-;-
SLF5OB;199907;-;-;-;-
SLF5OB;199908;-;-;-;-
SLF5OB;199909;-;-;-;-
SLF5OB;199910;19991003;11;11;0
SLF5OB;199911;19991106;11;22;11
SLF5OB;199912;19991226;45;67;22
SLF5OB;200001;20000123;8;65;42
SLF5OB;200002;20000218;25;120;69
SLF5OB;200003;20000326;34;70;57
SLF5OB;200004;20000417;12;49;21
SLF5OB;200005;-;0;0;0
SLF5OB;200006;-;-;-;-
SLF5OB;200007;-;-;-;-
SLF5OB;200008;-;-;-;-
SLF5OB;200009;-;-;-;-
SLF5OB;200010;20001031;25;0;0
SLF5OB;200011;20001117;29;60;27
SLF5OB;200012;20001215;16;26;8
SLF5OB;200101;20010107;35;69;38
SLF5OB;200102;20010203;36;82;50
SLF5OB;200103;20010329;20;62;29
SLF5OB;200104;20010404;12;12;3
SLF5OB;200105;-;0;0;0
SLF5OB;200106;-;-;-;-
SLF5OB;200107;-;-;-;-
SLF5OB;200108;-;-;-;-
SLF5OB;200109;-;-;-;-
SLF5OB;200110;-;0;0;0
SLF5OB;200111;20011122;12;30;6
SLF5OB;200112;20011230;11;28;11
SLF5OB;200201;20020121;5;22;16
SLF5OB;200202;20020206;17;42;21
SLF5OB;200203;20020302;32;48;14
SLF5OB;200204;20020414;8;8;0
SLF5OB;200205;20020527;10;10;0
SLF5OB;200206;-;-;-;-
SLF5OB;200207;-;-;-;-
SLF5OB;200208;-;-;-;-
SLF5OB;200209;-;-;-;-
SLF5OB;200210;20021018;4;4;0
SLF5OB;200211;20021129;12;19;3
SLF5OB;200212;20021216;25;40;14
SLF5OB;200301;20030129;27;57;17
SLF5OB;200302;20030203;26;72;51
SLF5OB;200303;20030312;2;34;22
SLF5OB;200304;20030402;1;1;0
SLF5OB;200305;-;0;0;0
SLF5OB;200306;-;-;-;-
SLF5OB;200307;-;-;-;-
SLF5OB;200308;-;-;-;-
SLF5OB;200309;-;-;-;-
SLF5OB;200310;20031007;15;15;1
SLF5OB;200311;20031127;18;18;2
SLF5OB;200312;20031229;20;38;10
SLF5OB;200401;20040120;28;90;55
SLF5OB;200402;20040211;12;83;58
SLF5OB;200403;20040310;12;60;38
SLF5OB;200404;20040419;7;17;2
SLF5OB;200405;20040505;18;18;1
SLF5OB;200406;-;-;-;-
SLF5OB;200407;-;-;-;-
SLF5OB;200408;-;-;-;-
SLF5OB;200409;-;-;-;-
SLF5OB;200410;20041015;43;43;4
SLF5OB;200411;20041120;3;6;2
SLF5OB;200412;20041218;25;39;14
SLF5OB;200501;20050121;31;53;32
SLF5OB;200502;20050213;13;70;59
SLF5OB;200503;-;-;-;-
SLF5OB;200504;-;-;-;-
SLF5OB;200505;-;0;0;0
SLF5OB;200506;-;-;-;-
SLF5OB;200507;-;-;-;-
