 

stn;time;hti000mx;hto000mx;hns000mx;hto000m0
SLF7MA;201206;-;-;-;-
SLF7MA;201207;-;-;-;-
SLF7MA;201208;-;-;-;-
SLF7MA;201209;-;-;-;-
SLF7MA;201210;20121015;30;30;3
SLF7MA;201211;20121128;21;40;6
SLF7MA;201212;20121214;20;75;48
SLF7MA;201301;20130120;25;94;70

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5OB;200701;-;-;40;17
SLF5OB;200702;20070226;12;39;24
SLF5OB;200703;20070301;12;40;14
SLF5OB;200704;20070403;2;2;0
SLF5OB;200705;20070514;3;3;0
SLF5OB;200706;-;-;-;-
SLF5OB;200707;-;-;-;-
SLF5OB;200708;-;-;-;-
SLF5OB;200709;-;-;-;-
SLF5OB;200710;-;0;0;0
SLF5OB;200711;20071110;48;52;17
SLF5OB;200712;-;-;32;20
SLF5OB;200801;20080112;31;70;38
SLF5OB;200802;20080206;5;46;35
SLF5OB;200803;20080321;35;48;15
SLF5OB;200804;20080406;36;60;11
SLF5OB;200805;20080517;3;9;0
SLF5OB;200806;-;-;-;-
SLF5OB;200807;-;-;-;-
SLF5OB;200808;-;-;-;-
SLF5OB;200809;-;-;-;-
SLF5OB;200810;20081029;32;62;4
SLF5OB;200811;20081122;17;41;11
SLF5OB;200812;20081210;17;64;48
SLF5OB;200901;20090120;20;74;55
SLF5OB;200902;20090217;31;110;82
SLF5OB;200903;20090310;20;110;90
SLF5OB;200904;20090428;12;84;20
SLF5OB;200905;-;0;0;0
SLF5OB;200906;-;-;-;-
SLF5OB;200907;-;-;-;-
SLF5OB;200908;-;-;-;-
SLF5OB;200909;-;-;-;-
SLF5OB;200910;20091016;4;5;0
SLF5OB;200911;20091130;80;7;1
SLF5OB;200912;20091203;12;80;45
SLF5OB;201001;20100128;10;46;35
SLF5OB;201002;20100210;10;53;45
SLF5OB;201003;20100326;15;48;32
SLF5OB;201004;20100401;10;10;1
SLF5OB;201005;20100502;15;15;1
SLF5OB;201006;-;-;-;-
SLF5OB;201007;-;-;-;-
SLF5OB;201008;-;-;-;-
SLF5OB;201009;-;-;-;-
SLF5OB;201010;20101024;15;15;2
SLF5OB;201011;20101107;15;28;13
SLF5OB;201012;20101212;9;35;24
SLF5OB;201101;20110125;15;29;18
SLF5OB;201102;20110226;9;35;19
SLF5OB;201103;20110318;7;32;11
SLF5OB;201104;20110412;5;5;0
SLF5OB;201105;20110515;2;2;0
SLF5OB;201106;-;-;-;-
SLF5OB;201107;-;-;-;-
SLF5OB;201108;-;-;-;-
SLF5OB;201109;-;-;-;-
SLF5OB;201110;20111008;58;60;4
SLF5OB;201111;-;0;0;0
SLF5OB;201112;20111216;34;110;46
SLF5OB;201201;20120120;43;145;122
SLF5OB;201202;20120215;8;138;123
SLF5OB;201203;20120318;35;104;79
SLF5OB;201204;20120423;14;36;11
SLF5OB;201205;20120516;3;3;0
SLF5OB;201206;-;-;-;-
SLF5OB;201207;-;-;-;-
SLF5OB;201208;-;-;-;-
SLF5OB;201209;-;-;-;-
SLF5OB;201210;20121015;21;21;2
SLF5OB;201211;20121128;29;30;2
SLF5OB;201212;20121210;27;68;51
SLF5OB;201301;20130110;18;65;56

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
PON;201011;-;-;-;33
PON;201012;-;-;51;44
PON;201101;-;-;52;47
PON;201102;-;-;48;45
PON;201103;-;-;46;28
PON;201104;-;-;-;-
PON;201105;-;-;-;-
PON;201106;-;-;-;-
PON;201107;-;-;-;-
PON;201108;-;-;-;-
PON;201109;-;-;-;-
PON;201110;-;-;-;-
PON;201111;-;0;0;0
PON;201112;20111222;28;48;13
PON;201201;20120120;25;70;58
PON;201202;20120202;2;60;57
PON;201203;20120318;13;48;33
PON;201204;20120421;30;29;4
PON;201205;20120505;2;2;0
PON;201206;20120603;6;6;0
PON;201207;-;-;-;0
PON;201208;-;0;0;0
PON;201209;-;0;0;0
PON;201210;20121015;18;30;2
PON;201211;20121128;13;13;2
PON;201212;20121222;13;37;21
PON;201301;-;-;-;37

stn;time;hti000yx;hto000y0
PON;2012;20120421;15
PON;2013;20131009;14

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SVG;200910;20091016;2;2;0
SVG;200911;20091130;33;5;0
SVG;200912;20091203;15;41;9
SVG;201001;20100129;6;23;15
SVG;201002;20100205;7;30;9
SVG;201003;20100326;8;8;0
SVG;201004;20100401;10;10;0
SVG;201005;20100502;8;-;-
SVG;201006;-;0;0;0
