 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
BIV;196511;-;-;29;15
BIV;196512;19651207;36;78;55
BIV;196601;19660103;13;70;63
BIV;196602;19660221;21;80;66
BIV;196603;19660315;35;98;74
BIV;196604;19660420;21;71;44
BIV;196605;19660506;44;44;5
BIV;196606;19660619;7;7;0
BIV;196607;19660717;16;16;1
BIV;196608;19660830;1;1;0
BIV;196609;19660915;4;5;0
BIV;196610;19661026;12;28;3
BIV;196611;19661104;65;72;37
BIV;196612;19661202;41;106;85
BIV;196701;19670122;8;108;101
BIV;196702;19670217;23;115;99
BIV;196703;19670320;29;118;89
BIV;196704;19670421;18;121;76
BIV;196705;19670503;37;64;12
BIV;196706;19670608;18;118;5
BIV;196707;-;0;0;0
BIV;196708;-;0;0;0
BIV;196709;19670907;3;3;0
BIV;196710;19671029;21;21;1
BIV;196711;19671102;25;30;12
BIV;196712;19671229;14;40;24
BIV;196801;19680126;63;148;75
BIV;196802;19680203;12;125;107
BIV;196803;19680311;27;135;108
BIV;196804;19680424;16;76;41
BIV;196805;19680507;11;11;1
BIV;196806;19680620;11;11;0
BIV;196807;-;0;0;0
BIV;196808;-;0;0;0
BIV;196809;19680904;18;18;1
BIV;196810;-;0;0;0
BIV;196811;19681117;28;32;8
BIV;196812;19681225;18;38;14
BIV;196901;19690114;33;75;49
BIV;196902;19690202;17;68;58
BIV;196903;19690325;8;65;45
BIV;196904;19690416;22;33;13
BIV;196905;19690518;6;6;1
BIV;196906;19690604;14;16;2
BIV;196907;19690707;6;6;0
BIV;196908;19690823;22;24;2
BIV;196909;-;0;0;0
BIV;196910;19691024;1;1;0
BIV;196911;19691114;30;36;13
BIV;196912;19691204;22;46;37
BIV;197001;19700115;22;72;52
BIV;197002;19700203;28;100;75
BIV;197003;19700331;23;118;100
BIV;197004;19700426;35;115;97
BIV;197005;19700502;12;102;33
BIV;197006;-;0;0;0
BIV;197007;-;0;0;0
BIV;197008;19700822;6;6;0
BIV;197009;-;0;0;0
BIV;197010;19701020;22;25;6
BIV;197011;19701121;25;38;14
BIV;197012;19701207;14;40;22
BIV;197101;19710121;24;62;44
BIV;197102;19710203;42;108;80
BIV;197103;19710319;16;108;98
BIV;197104;19710403;4;94;39
BIV;197105;19710528;3;3;0
BIV;197106;19710630;4;4;0
BIV;197107;-;0;4;0
BIV;197108;-;0;0;0
BIV;197109;-;0;0;0
BIV;197110;19711014;1;2;0
BIV;197111;19711109;22;37;19
BIV;197112;19711209;28;67;47
BIV;197201;19720103;13;59;50
BIV;197202;19720211;10;58;49
BIV;197203;19720307;15;60;29
BIV;197204;19720411;25;25;7
BIV;197205;19720514;15;15;2
BIV;197206;19720612;6;6;0
BIV;197207;-;0;0;0
BIV;197208;19720818;2;2;0
BIV;197209;19720915;7;7;1
BIV;197210;19721022;42;63;9
BIV;197211;19721111;18;18;4
BIV;197212;19721209;21;31;18
BIV;197301;19730115;15;47;25
BIV;197302;19730210;12;57;45
BIV;197303;19730309;12;71;58
BIV;197304;19730409;31;72;45
BIV;197305;19730507;42;44;4
BIV;197306;19730620;6;6;0
BIV;197307;19730717;3;3;0
BIV;197308;-;0;0;0
BIV;197309;19730930;47;15;1
BIV;197310;19731023;17;54;6
BIV;197311;19731129;11;20;5
BIV;197312;19731214;33;69;43
BIV;197401;19740117;29;73;51
BIV;197402;19740207;15;84;64
BIV;197403;19740304;25;95;63
BIV;197404;19740423;26;26;7
BIV;197405;19740501;11;11;1
BIV;197406;19740609;11;11;1
BIV;197407;-;0;0;0
BIV;197408;19740827;12;12;1
BIV;197409;19740928;19;19;2
BIV;197410;19741007;25;39;21
BIV;197411;19741128;32;73;37
BIV;197412;19741213;17;87;69
BIV;197501;19750108;29;133;104

stn;time;hti000yx;hns000y0;hto000y0
BIV;1966;19661104;712;32
BIV;1967;19670503;601;35
BIV;1968;19680126;567;30
BIV;1969;19690114;516;18
BIV;1970;19700426;723;33
BIV;1971;19710203;476;27
BIV;1972;19721022;495;14
BIV;1973;19730930;636;19
BIV;1974;19741128;704;26
BIV;1975;19750318;800;50

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7MA;196201;19620111;20;122;104
SLF7MA;196202;19620214;8;130;116
SLF7MA;196203;19620304;28;172;149
SLF7MA;196204;19620408;22;165;140
SLF7MA;196205;-;-;-;-
SLF7MA;196206;-;-;-;-
SLF7MA;196207;-;-;-;-
SLF7MA;196208;-;-;-;-
SLF7MA;196209;-;-;-;-
SLF7MA;196210;-;-;-;-
SLF7MA;196211;19621114;22;37;20
SLF7MA;196212;19621212;42;92;57
SLF7MA;196301;19630103;26;117;95
SLF7MA;196302;19630211;19;117;100
SLF7MA;196303;19630329;36;140;108
SLF7MA;196304;19630406;28;160;118
SLF7MA;196305;19630514;19;45;11
SLF7MA;196306;-;-;-;-
SLF7MA;196307;-;-;-;-
SLF7MA;196308;-;-;-;-
SLF7MA;196309;-;-;-;-
SLF7MA;196310;-;-;-;-
SLF7MA;196311;19631106;41;70;27
SLF7MA;196312;19631203;9;70;61
SLF7MA;196401;19640110;25;96;76
SLF7MA;196402;19640216;12;92;81
SLF7MA;196403;19640327;37;147;97
SLF7MA;196404;19640402;31;148;87
SLF7MA;196405;-;-;-;-
SLF7MA;196406;-;-;-;-
SLF7MA;196407;-;-;-;-
SLF7MA;196408;-;-;-;-
SLF7MA;196409;-;-;-;-
SLF7MA;196410;19641011;35;50;22
SLF7MA;196411;19641129;70;112;23
SLF7MA;196412;19641216;24;96;76
SLF7MA;196501;19650127;33;122;81
SLF7MA;196502;19650228;6;118;101
SLF7MA;196503;19650302;38;160;120
SLF7MA;196504;19650426;4;88;48
SLF7MA;196505;-;-;-;-
SLF7MA;196506;-;-;-;-
SLF7MA;196507;-;-;-;-
SLF7MA;196508;-;-;-;-
SLF7MA;196509;-;-;-;-
SLF7MA;196510;-;-;-;-
SLF7MA;196511;19651120;25;55;20
SLF7MA;196512;19651207;43;95;71
SLF7MA;196601;19660122;10;80;74
SLF7MA;196602;19660221;47;140;92
SLF7MA;196603;19660315;18;125;110
SLF7MA;196604;19660420;17;102;69
SLF7MA;196605;-;-;-;-
SLF7MA;196606;-;-;-;-
SLF7MA;196607;-;-;-;-
