 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7MA;195010;-;0;0;0
SLF7MA;195011;19501122;65;140;58
SLF7MA;195012;19501207;43;150;125
SLF7MA;195101;19510112;65;212;173
SLF7MA;195102;19510205;63;299;256
SLF7MA;195103;19510313;34;290;256
SLF7MA;195104;19510407;26;284;247
SLF7MA;195105;19510517;8;200;127
SLF7MA;195106;-;-;-;-
SLF7MA;195107;-;-;-;-
SLF7MA;195108;-;-;-;-
SLF7MA;195109;-;-;-;-
SLF7MA;195110;-;-;-;-
SLF7MA;195111;19511118;21;32;16
SLF7MA;195112;19511225;26;64;43
SLF7MA;195201;19520131;27;85;69
SLF7MA;195202;19520213;16;110;93
SLF7MA;195203;19520330;17;99;82
SLF7MA;195204;19520401;52;140;59
SLF7MA;195205;-;-;-;-
SLF7MA;195206;-;-;-;-
SLF7MA;195207;-;-;-;-
SLF7MA;195208;-;-;-;-
SLF7MA;195209;-;-;-;-
SLF7MA;195210;-;-;-;-
SLF7MA;195211;19521119;39;91;41
SLF7MA;195212;19521214;29;94;71
SLF7MA;195301;19530106;2;89;81
SLF7MA;195302;19530210;17;98;83
SLF7MA;195303;19530315;1;75;67
SLF7MA;195304;19530414;7;34;7
SLF7MA;195305;-;-;-;-
SLF7MA;195306;-;-;-;-
SLF7MA;195307;-;-;-;-
SLF7MA;195308;-;-;-;-
SLF7MA;195309;-;-;-;-
SLF7MA;195310;-;-;-;-
SLF7MA;195311;19531102;9;16;3
SLF7MA;195312;19531219;13;20;7
SLF7MA;195401;19540111;47;75;39
SLF7MA;195402;19540228;43;67;52
SLF7MA;195403;19540304;49;153;97
SLF7MA;195404;19540425;10;82;46
SLF7MA;195405;-;-;-;-
SLF7MA;195406;-;-;-;-
SLF7MA;195407;-;-;-;-
SLF7MA;195408;-;-;-;-
SLF7MA;195409;-;-;-;-
SLF7MA;195410;-;-;-;-
SLF7MA;195411;19541128;13;35;5
SLF7MA;195412;19541209;70;164;95
SLF7MA;195501;19550103;26;150;136
SLF7MA;195502;19550217;38;219;180
SLF7MA;195503;19550320;16;203;186
SLF7MA;195504;19550414;5;161;132
SLF7MA;195505;-;-;-;-
SLF7MA;195506;-;-;-;-
SLF7MA;195507;-;-;-;-
SLF7MA;195508;-;-;-;-
SLF7MA;195509;-;-;-;-
SLF7MA;195510;-;-;-;-
SLF7MA;195511;19551130;10;4;1
SLF7MA;195512;19551214;16;26;15
SLF7MA;195601;19560113;21;89;56
SLF7MA;195602;19560219;2;70;66
SLF7MA;195603;19560322;30;120;63
SLF7MA;195604;19560414;16;85;65
SLF7MA;195605;-;-;-;-
SLF7MA;195606;-;-;-;-
SLF7MA;195607;-;-;-;-
SLF7MA;195608;-;-;-;-
SLF7MA;195609;-;-;-;-
SLF7MA;195610;-;-;-;-
SLF7MA;195611;19561111;20;27;15
SLF7MA;195612;19561231;5;18;15
SLF7MA;195701;19570101;69;124;62
SLF7MA;195702;19570218;27;118;80
SLF7MA;195703;19570323;25;88;70
SLF7MA;195704;19570401;9;48;16
SLF7MA;195705;-;-;-;-
SLF7MA;195706;-;-;-;-
SLF7MA;195707;-;-;-;-
SLF7MA;195708;-;-;-;-
SLF7MA;195709;-;-;-;-
SLF7MA;195710;-;-;-;-
SLF7MA;195711;19571107;30;51;25
SLF7MA;195712;19571211;31;101;63
SLF7MA;195801;19580107;21;106;93
SLF7MA;195802;19580225;45;167;99
SLF7MA;195803;19580313;10;146;125
SLF7MA;195804;19580403;35;156;130
SLF7MA;195805;-;-;-;-
SLF7MA;195806;-;-;-;-
SLF7MA;195807;-;-;-;-
SLF7MA;195808;-;-;-;-
SLF7MA;195809;-;-;-;-
SLF7MA;195810;-;-;-;-
SLF7MA;195811;19581111;36;41;16
SLF7MA;195812;19581221;40;142;65
SLF7MA;195901;19590122;20;132;109
SLF7MA;195902;19590221;2;116;109
SLF7MA;195903;19590307;23;142;116
SLF7MA;195904;19590416;12;104;62
SLF7MA;195905;-;-;-;-
SLF7MA;195906;-;-;-;-
SLF7MA;195907;-;-;-;-
SLF7MA;195908;-;-;-;-
SLF7MA;195909;-;-;-;-
SLF7MA;195910;19591028;34;34;3
SLF7MA;195911;19591112;43;118;57
SLF7MA;195912;19591210;32;157;136
SLF7MA;196001;19600128;44;233;139
SLF7MA;196002;19600211;38;230;203
SLF7MA;196003;19600309;27;232;206
SLF7MA;196004;19600411;30;186;147
SLF7MA;196005;-;-;-;-
SLF7MA;196006;-;-;-;-
SLF7MA;196007;-;-;-;-
SLF7MA;196008;-;-;-;-
SLF7MA;196009;-;-;-;-
SLF7MA;196010;-;-;-;-
SLF7MA;196011;19601104;22;78;57
SLF7MA;196012;19601206;71;190;139
SLF7MA;196101;19610103;73;210;168
SLF7MA;196102;19610221;22;195;176
SLF7MA;196103;19610301;4;170;145
SLF7MA;196104;19610414;17;110;54
SLF7MA;196105;-;-;-;-
SLF7MA;196106;-;-;-;-
SLF7MA;196107;-;-;-;-
SLF7MA;196108;-;-;-;-
SLF7MA;196109;-;-;-;-
SLF7MA;196110;-;-;-;-
SLF7MA;196111;19611109;50;84;45
SLF7MA;196112;19611230;20;77;58
SLF7MA;196201;19620111;20;122;104

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF5OB;194511;-;-;26;11
SLF5OB;194512;19451229;11;38;19
SLF5OB;194601;19460130;12;50;42
SLF5OB;194602;19460221;28;123;81
SLF5OB;194603;19460301;17;100;75
SLF5OB;194604;-;0;29;3
SLF5OB;194605;-;-;-;-
SLF5OB;194606;-;-;-;-
SLF5OB;194607;-;-;-;-
SLF5OB;194608;-;-;-;-
SLF5OB;194609;-;-;-;-
SLF5OB;194610;-;-;-;-
SLF5OB;194611;19461118;8;10;1
SLF5OB;194612;19461209;7;18;13
SLF5OB;194701;19470111;30;54;34
SLF5OB;194702;19470205;8;49;40
SLF5OB;194703;19470311;20;47;21
SLF5OB;194704;-;-;5;0
SLF5OB;194705;-;-;-;-
SLF5OB;194706;-;-;-;-
SLF5OB;194707;-;-;-;-
SLF5OB;194708;-;-;-;-
SLF5OB;194709;-;-;-;-
SLF5OB;194710;-;-;-;-
SLF5OB;194711;-;-;22;4
SLF5OB;194712;19471221;28;59;29
SLF5OB;194801;19480101;26;63;46
SLF5OB;194802;19480207;45;94;69
SLF5OB;194803;-;0;70;34
SLF5OB;194804;-;-;24;2
SLF5OB;194805;-;-;-;-
SLF5OB;194806;-;-;-;-
SLF5OB;194807;-;-;-;-
SLF5OB;194808;-;-;-;-
SLF5OB;194809;-;-;-;-
SLF5OB;194810;-;-;-;-
SLF5OB;194811;-;-;0;0
SLF5OB;194812;-;-;19;6
SLF5OB;194901;19490115;41;89;52
SLF5OB;194902;19490227;13;55;47
SLF5OB;194903;19490301;17;66;41
SLF5OB;194904;-;-;24;6
SLF5OB;194905;-;-;-;-
SLF5OB;194906;-;-;-;-
SLF5OB;194907;-;-;-;-
SLF5OB;194908;-;-;-;-
SLF5OB;194909;-;-;-;-
SLF5OB;194910;-;-;-;-
SLF5OB;194911;-;-;20;3
SLF5OB;194912;19491217;20;31;15
SLF5OB;195001;19500104;50;104;55
SLF5OB;195002;19500209;48;92;64
SLF5OB;195003;19500310;3;73;47
SLF5OB;195004;19500414;23;23;4
SLF5OB;195005;-;-;-;-
SLF5OB;195006;-;-;-;-
SLF5OB;195007;-;-;-;-
SLF5OB;195008;-;-;-;-
SLF5OB;195009;-;-;-;-
SLF5OB;195010;-;-;-;-
SLF5OB;195011;19501122;44;60;23
SLF5OB;195012;19501207;12;43;37
SLF5OB;195101;19510119;48;135;78
SLF5OB;195102;19510211;40;145;118
SLF5OB;195103;19510327;10;124;103
SLF5OB;195104;19510407;29;110;68
SLF5OB;195105;-;-;-;-
SLF5OB;195106;-;-;-;-
SLF5OB;195107;-;-;-;-
SLF5OB;195108;-;-;-;-
SLF5OB;195109;-;-;-;-
SLF5OB;195110;-;-;-;-
SLF5OB;195111;-;-;10;1
SLF5OB;195112;19511226;8;15;7
SLF5OB;195201;19520118;23;57;32
SLF5OB;195202;19520208;19;95;70
SLF5OB;195203;19520307;18;86;64
SLF5OB;195204;19520401;3;35;10
SLF5OB;195205;-;-;-;-
SLF5OB;195206;-;-;-;-
SLF5OB;195207;-;-;-;-
SLF5OB;195208;-;-;-;-
SLF5OB;195209;-;-;-;-
SLF5OB;195210;-;-;-;-
SLF5OB;195211;-;-;94;40
SLF5OB;195212;19521217;23;92;57
SLF5OB;195301;19530131;8;79;72
SLF5OB;195302;19530201;13;92;81
SLF5OB;195303;19530307;5;69;53
SLF5OB;195304;19530405;4;8;1
SLF5OB;195305;-;-;-;-
SLF5OB;195306;-;-;-;-
SLF5OB;195307;-;-;-;-
SLF5OB;195308;-;-;-;-
SLF5OB;195309;-;-;-;-
SLF5OB;195310;-;-;-;-
SLF5OB;195311;-;-;1;0
SLF5OB;195312;19531229;12;21;2
SLF5OB;195401;19540111;47;80;51
SLF5OB;195402;19540209;15;70;62
SLF5OB;195403;19540331;12;76;49
SLF5OB;195404;19540406;28;31;7
SLF5OB;195405;-;-;-;-
SLF5OB;195406;-;-;-;-
SLF5OB;195407;-;-;-;-
SLF5OB;195408;-;-;-;-
SLF5OB;195409;-;-;-;-
SLF5OB;195410;-;-;-;-
SLF5OB;195411;19541128;4;5;1
SLF5OB;195412;19541210;46;92;51
SLF5OB;195501;19550117;11;71;60
SLF5OB;195502;19550208;26;120;89
SLF5OB;195503;19550309;3;106;91
SLF5OB;195504;19550410;3;48;16
SLF5OB;195505;-;-;-;-
SLF5OB;195506;-;-;-;-
SLF5OB;195507;-;-;-;-
SLF5OB;195508;-;-;-;-
SLF5OB;195509;-;-;-;-
SLF5OB;195510;-;-;-;-
SLF5OB;195511;19551124;11;15;2
SLF5OB;195512;19551227;26;40;11
SLF5OB;195601;19560129;19;53;28
SLF5OB;195602;19560208;7;55;53
SLF5OB;195603;19560305;9;58;42
SLF5OB;195604;19560417;14;14;3
SLF5OB;195605;-;-;-;-
SLF5OB;195606;-;-;-;-
SLF5OB;195607;-;-;-;-
SLF5OB;195608;-;-;-;-
SLF5OB;195609;-;-;-;-
SLF5OB;195610;-;-;-;-
SLF5OB;195611;19561114;11;20;11
SLF5OB;195612;19561226;3;14;11
SLF5OB;195701;19570102;15;27;16
SLF5OB;195702;19570223;43;70;27
SLF5OB;195703;19570308;1;41;15
SLF5OB;195704;19570402;3;3;0
SLF5OB;195705;-;-;-;-
SLF5OB;195706;-;-;-;-
SLF5OB;195707;-;-;-;-
SLF5OB;195708;-;-;-;-
SLF5OB;195709;-;-;-;-
SLF5OB;195710;-;-;-;-
SLF5OB;195711;-;-;0;0
SLF5OB;195712;19571213;18;27;15
SLF5OB;195801;19580107;18;60;44
SLF5OB;195802;19580223;20;62;41
SLF5OB;195803;19580313;28;82;60
SLF5OB;195804;19580405;16;47;27
SLF5OB;195805;-;-;-;-
SLF5OB;195806;-;-;-;-
SLF5OB;195807;-;-;-;-
SLF5OB;195808;-;-;-;-
SLF5OB;195809;-;-;-;-
SLF5OB;195810;-;-;-;-
SLF5OB;195811;19581110;8;10;2
SLF5OB;195812;19581212;11;25;12
SLF5OB;195901;19590106;20;80;53
SLF5OB;195902;19590221;15;54;46
SLF5OB;195903;19590307;5;45;18
SLF5OB;195904;19590409;8;8;1
SLF5OB;195905;-;-;-;-
SLF5OB;195906;-;-;-;-
SLF5OB;195907;-;-;-;-
SLF5OB;195908;-;-;-;-
SLF5OB;195909;-;-;-;-
SLF5OB;195910;-;-;-;-
SLF5OB;195911;19591114;40;62;26
SLF5OB;195912;19591228;35;65;26
SLF5OB;196001;19600102;15;70;56
SLF5OB;196002;19600223;6;49;45
SLF5OB;196003;19600303;10;40;26
SLF5OB;196004;19600411;21;21;2
SLF5OB;196005;-;-;-;-
SLF5OB;196006;-;-;-;-
SLF5OB;196007;-;-;-;-
SLF5OB;196008;-;-;-;-
SLF5OB;196009;-;-;-;-
SLF5OB;196010;-;-;-;-
SLF5OB;196011;19601104;14;14;5
SLF5OB;196012;19601206;35;42;26
SLF5OB;196101;19610103;27;54;39
SLF5OB;196102;19610202;37;92;69
SLF5OB;196103;19610321;7;66;38
SLF5OB;196104;-;-;9;0
SLF5OB;196105;-;-;-;-
SLF5OB;196106;-;-;-;-
SLF5OB;196107;-;-;-;-
SLF5OB;196108;-;-;-;-
SLF5OB;196109;-;-;-;-
SLF5OB;196110;-;-;-;-
SLF5OB;196111;19611109;6;6;1
SLF5OB;196112;19611205;4;6;1
SLF5OB;196201;19620113;21;42;23

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SCU;193101;19310118;23;-;-
SCU;193102;19310217;25;-;-
SCU;193103;19310304;23;-;-
SCU;193104;19310418;11;-;-
SCU;193105;-;0;-;-
SCU;193106;-;0;-;-
SCU;193107;19310715;1;-;-
SCU;193108;-;0;-;-
SCU;193109;-;0;-;-
SCU;193110;19311025;17;-;-
SCU;193111;19311127;15;-;-
SCU;193112;19311210;10;-;-
SCU;193201;19320102;18;-;-
SCU;193202;19320210;2;-;-
SCU;193203;19320308;10;-;-
SCU;193204;19320408;19;-;-
SCU;193205;-;0;-;-
SCU;193206;-;0;-;-
SCU;193207;-;0;-;-
SCU;193208;-;0;-;-
SCU;193209;-;0;-;-
SCU;193210;19321031;13;-;-
SCU;193211;19321127;8;-;-
SCU;193212;19321204;2;-;-
SCU;193301;19330130;7;-;-
SCU;193302;19330218;5;-;-
SCU;193303;19330317;10;-;-
SCU;193304;19330420;16;-;-
SCU;193305;19330507;2;-;-
SCU;193306;-;0;-;-
SCU;193307;-;0;-;-
SCU;193308;-;0;-;-
SCU;193309;-;0;-;-
SCU;193310;19331028;10;-;-
SCU;193311;19331103;10;-;-
SCU;193312;19331230;4;-;-
SCU;193401;19340112;6;-;-
SCU;193402;19340228;9;-;-
SCU;193403;19340320;12;-;-
SCU;193404;-;0;-;-
SCU;193405;-;0;-;-
SCU;193406;-;0;-;-
SCU;193407;-;0;-;-
SCU;193408;-;0;-;-
SCU;193409;-;0;-;-
SCU;193410;19341017;10;-;-
SCU;193411;19341107;2;-;-
SCU;193412;19341218;17;-;-
SCU;193501;19350114;10;-;-
SCU;193502;19350225;31;-;-
SCU;193503;19350329;4;-;-
SCU;193504;19350417;11;-;-
SCU;193505;19350516;18;-;-
SCU;193506;-;0;-;-
SCU;193507;-;0;-;-
SCU;193508;-;0;-;-
SCU;193509;-;0;-;-
SCU;193510;19351024;4;-;-
SCU;193511;19351117;25;-;-
SCU;193512;19351201;28;-;-
SCU;193601;19360122;14;-;-
SCU;193602;19360228;10;-;-
SCU;193603;19360305;1;-;-
SCU;193604;19360416;6;-;-
SCU;193605;-;0;-;-
SCU;193606;-;0;-;-
SCU;193607;-;0;-;-
SCU;193608;-;0;-;-
SCU;193609;19360928;1;-;-
SCU;193610;19361028;12;-;-
SCU;193611;19361120;2;-;-
SCU;193612;19361203;70;-;-
SCU;193701;19370108;23;-;-
SCU;193702;19370228;22;-;-
SCU;193703;19370312;12;-;-
SCU;193704;19370421;1;-;-
SCU;193705;-;0;-;-
SCU;193706;-;0;-;-
SCU;193707;-;0;-;-
SCU;193708;-;0;-;-
SCU;193709;-;0;-;-
SCU;193710;-;0;-;-
SCU;193711;19371117;3;-;-
SCU;193712;19371209;15;-;-
SCU;193801;19380130;25;-;-
SCU;193802;19380211;6;-;-
SCU;193803;19380327;30;-;-
SCU;193804;19380427;10;-;-
SCU;193805;19380520;5;-;-
SCU;193806;-;0;-;-
SCU;193807;-;0;-;-
SCU;193808;-;0;-;-
SCU;193809;-;0;-;-
SCU;193810;19381028;2;-;-
SCU;193811;-;0;-;-
SCU;193812;19381220;20;-;-
SCU;193901;19390112;17;-;-
SCU;193902;19390228;2;-;-
SCU;193903;19390315;12;-;-
SCU;193904;-;0;-;-
SCU;193905;-;0;-;-
SCU;193906;-;0;-;-
SCU;193907;-;0;-;-
SCU;193908;-;0;-;-
SCU;193909;-;0;-;-
SCU;193910;19391027;10;-;-
SCU;193911;19391120;15;-;-
SCU;193912;19391210;20;-;-
SCU;194001;19400127;38;-;-
SCU;194002;19400218;30;-;-
SCU;194003;19400317;20;-;-
SCU;194004;19400404;20;-;-
SCU;194005;19400516;5;-;-
SCU;194006;-;0;-;-
SCU;194007;-;0;-;-
SCU;194008;-;0;-;-
SCU;194009;-;0;-;-
SCU;194010;-;0;-;-
SCU;194011;19401115;5;-;-
SCU;194012;19401206;30;-;-
SCU;194101;19410118;20;-;-
SCU;194102;19410213;7;-;-
SCU;194103;19410304;10;-;-
SCU;194104;-;0;-;-
SCU;194105;-;0;-;-
SCU;194106;-;0;-;-
SCU;194107;-;0;-;-
SCU;194108;-;0;-;-
SCU;194109;-;0;-;-
SCU;194110;-;0;-;-
SCU;194111;19411102;20;-;-
SCU;194112;19411207;5;-;-
SCU;194201;19420123;3;-;-
SCU;194202;19420204;10;-;-
SCU;194203;-;0;-;-
SCU;194204;19420429;5;-;-
SCU;194205;-;0;-;-
SCU;194206;-;0;-;-
SCU;194207;-;0;-;-
SCU;194208;-;0;-;-
SCU;194209;-;0;-;-
SCU;194210;-;0;-;-
SCU;194211;19421123;2;-;-
SCU;194212;19421205;10;-;-
SCU;194301;19430102;15;-;-
SCU;194302;-;0;-;-
SCU;194303;-;0;-;-
SCU;194304;19430407;15;-;-
SCU;194305;-;0;-;-
SCU;194306;-;0;-;-
SCU;194307;-;0;-;-
SCU;194308;-;0;-;-
SCU;194309;-;0;-;-
SCU;194310;-;0;-;-
SCU;194311;19431130;25;-;-
SCU;194312;-;0;-;-
SCU;194401;19440126;15;-;-
SCU;194402;19440205;25;-;-
SCU;194403;19440326;15;-;-
SCU;194404;-;0;-;-
SCU;194405;19440507;25;-;-
SCU;194406;-;0;-;-
SCU;194407;-;0;-;-
SCU;194408;-;0;-;-
SCU;194409;-;0;-;-
SCU;194410;-;0;-;-
SCU;194411;19441110;20;-;-
SCU;194412;19441204;10;-;-
SCU;194501;19450126;10;-;-
SCU;194502;19450211;50;-;-
SCU;194503;19450307;25;-;-
SCU;194504;-;0;-;-
SCU;194505;-;0;-;-
SCU;194506;-;0;-;-
SCU;194507;-;0;-;-
SCU;194508;-;0;-;-
SCU;194509;-;0;-;-
SCU;194510;-;0;-;-
SCU;194511;19451108;3;-;-
SCU;194512;19451213;15;-;-
SCU;194601;19460130;10;-;-
SCU;194602;19460223;10;-;-
SCU;194603;19460313;1;-;-
SCU;194604;-;0;-;-
SCU;194605;-;0;-;-
SCU;194606;-;0;-;-
SCU;194607;-;0;-;-
SCU;194608;-;0;-;-
SCU;194609;-;0;-;-
SCU;194610;19461028;3;-;-
SCU;194611;19461129;5;-;-
SCU;194612;19461209;15;-;-
SCU;194701;19470111;30;-;-
SCU;194702;19470208;8;-;-
SCU;194703;19470325;5;-;-
SCU;194704;-;0;-;-
SCU;194705;-;0;-;-
SCU;194706;-;0;-;-
SCU;194707;-;0;-;-
SCU;194708;-;0;-;-
SCU;194709;-;0;-;-
SCU;194710;-;0;-;-
SCU;194711;19471118;25;-;-
SCU;194712;19471221;10;-;-
SCU;194801;19480120;30;-;-
SCU;194802;19480211;30;-;-
SCU;194803;-;0;-;-
SCU;194804;19480401;5;-;-
SCU;194805;-;0;-;-
SCU;194806;-;0;-;-
SCU;194807;-;0;-;-
SCU;194808;-;0;-;-
SCU;194809;-;0;-;-
SCU;194810;-;0;-;-
SCU;194811;-;0;-;-
SCU;194812;19481217;5;-;-
SCU;194901;19490121;20;-;-
SCU;194902;19490228;4;-;-
SCU;194903;19490301;20;-;-
SCU;194904;19490408;2;-;-
SCU;194905;19490511;2;-;-
SCU;194906;-;0;-;-
SCU;194907;-;0;-;-
SCU;194908;-;0;-;-
SCU;194909;-;0;-;-
SCU;194910;19491027;5;-;-
SCU;194911;19491108;25;-;-
SCU;194912;19491217;40;-;-
SCU;195001;19500104;35;-;-
SCU;195002;19500209;65;-;-
SCU;195003;-;0;-;-
SCU;195004;19500414;20;-;-
SCU;195005;-;0;-;-
SCU;195006;-;0;-;-
SCU;195007;-;0;-;-
SCU;195008;-;0;-;-
SCU;195009;-;0;-;-
SCU;195010;-;0;-;-
SCU;195011;19501116;40;-;-
SCU;195012;19501225;15;-;-
SCU;195101;19510103;40;-;-
SCU;195102;19510206;30;-;-
SCU;195103;19510330;10;-;-
SCU;195104;19510407;30;-;-
SCU;195105;-;0;-;-
SCU;195106;-;0;-;-
SCU;195107;-;0;-;-
SCU;195108;-;0;-;-
SCU;195109;-;0;-;-
SCU;195110;19511031;2;-;-
SCU;195111;19511101;8;-;-
SCU;195112;19511207;15;-;-
