 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
BIV;198601;19860131;65;98;70
BIV;198602;19860219;12;145;108
BIV;198603;19860319;16;100;82
BIV;198604;19860411;35;95;61
BIV;198605;19860529;18;35;6
BIV;198606;19860604;8;8;1
BIV;198607;-;0;0;0
BIV;198608;19860828;22;22;1
BIV;198609;-;0;0;0
BIV;198610;19861025;5;5;1
BIV;198611;19861120;15;110;9
BIV;198612;19861219;35;75;34
BIV;198701;19870110;15;85;68
BIV;198702;19870228;20;115;82
BIV;198703;19870316;11;120;101
BIV;198704;19870404;25;110;72
BIV;198705;19870503;45;55;10
BIV;198706;19870608;25;25;2
BIV;198707;-;0;0;0
BIV;198708;-;0;0;0
BIV;198709;-;0;0;0
BIV;198710;19871012;6;6;0
BIV;198711;19871123;21;36;10
BIV;198712;19871205;6;30;20
BIV;198801;19880105;14;58;36
BIV;198802;19880205;23;90;71
BIV;198803;19880329;27;111;88
BIV;198804;19880411;6;105;58
BIV;198805;19880501;1;1;0
BIV;198806;19880605;29;48;4
BIV;198807;-;0;0;0
BIV;198808;19880820;1;1;0
BIV;198809;19880901;6;6;0
BIV;198810;19881006;1;1;0
BIV;198811;19881120;5;10;3
BIV;198812;19881218;16;59;44
BIV;198901;19890106;4;50;47
BIV;198902;19890223;52;112;57
BIV;198903;19890316;22;97;76
BIV;198904;19890425;40;67;42
BIV;198905;-;0;57;6
BIV;198906;19890603;20;30;3
BIV;198907;-;0;0;0
BIV;198908;-;0;0;0
BIV;198909;19890926;2;2;0
BIV;198910;19891007;6;7;1
BIV;198911;19891104;19;35;13
BIV;198912;19891218;10;10;7
BIV;199001;19900127;13;22;10
BIV;199002;19900226;43;88;39
BIV;199003;19900325;17;85;59
BIV;199004;19900417;22;88;56
BIV;199005;-;0;28;1
BIV;199006;-;0;0;0
BIV;199007;-;0;0;0
BIV;199008;-;0;0;0
BIV;199009;-;0;0;0
BIV;199010;19901030;12;14;1
BIV;199011;19901124;23;47;23
BIV;199012;19901208;54;90;65
BIV;199101;19910112;23;92;71
BIV;199102;19910214;15;102;79
BIV;199103;19910321;21;70;29
BIV;199104;19910416;32;35;9
BIV;199105;19910510;16;28;6
BIV;199106;19910616;30;30;1
BIV;199107;-;0;0;0
BIV;199108;-;0;0;0
BIV;199109;19910929;6;6;0
BIV;199110;19911018;4;4;0
BIV;199111;19911112;51;51;22
BIV;199112;19911220;65;136;65
BIV;199201;19920108;22;120;107
BIV;199202;19920203;42;145;126
BIV;199203;19920330;46;172;124
BIV;199204;19920427;39;155;120
BIV;199205;-;0;80;15
BIV;199206;-;0;0;0
BIV;199207;-;0;0;0
BIV;199208;19920831;12;0;0
BIV;199209;19920904;5;12;1
BIV;199210;19921016;14;14;3
BIV;199211;19921116;16;19;5
BIV;199212;19921203;25;72;49
BIV;199301;19930125;23;70;45
BIV;199302;19930220;18;88;62
BIV;199303;19930323;29;87;72
BIV;199304;19930405;11;76;47
BIV;199305;19930520;6;6;0
BIV;199306;19930610;6;6;0
BIV;199307;19930709;30;30;2
BIV;199308;-;0;0;0
BIV;199309;19930927;18;18;1
BIV;199310;19931020;62;65;16
BIV;199311;19931111;9;12;6
BIV;199312;19931223;22;52;27
BIV;199401;19940106;39;118;80
BIV;199402;19940227;25;120;104
BIV;199403;19940331;20;115;71
BIV;199404;19940413;12;58;31
BIV;199405;19940503;3;3;0
BIV;199406;19940609;2;2;0
BIV;199407;-;0;0;0
BIV;199408;-;0;0;0
BIV;199409;19940917;2;2;0
BIV;199410;19941025;10;10;1
BIV;199411;19941109;17;20;5
BIV;199412;19941219;18;40;12
BIV;199501;19950109;67;118;77
BIV;199502;19950216;18;101;85
BIV;199503;19950302;23;122;102
BIV;199504;19950424;20;112;67
BIV;199505;19950512;4;10;1
BIV;199506;19950609;10;10;1
BIV;199507;-;0;0;0
BIV;199508;19950827;18;18;1
BIV;199509;19950906;1;1;0
BIV;199510;19951031;3;0;0
BIV;199511;19951118;25;26;10
BIV;199512;19951218;20;51;24
BIV;199601;19960106;3;49;38
BIV;199602;19960220;15;76;52
BIV;199603;19960320;10;57;48
BIV;199604;19960401;14;54;13
BIV;199605;19960501;24;24;1
BIV;199606;19960621;10;10;0
BIV;199607;19960706;2;2;0
BIV;199608;19960826;5;5;0
BIV;199609;19960930;19;8;0
BIV;199610;19961015;18;30;5
BIV;199611;19961112;60;105;34
BIV;199612;19961201;19;76;57
BIV;199701;19970102;10;64;55

stn;time;hti000yx;hns000y0;hto000y0
BIV;1986;19860131;743;31
BIV;1987;19870503;538;30
BIV;1988;19880605;534;25
BIV;1989;19890223;536;21
BIV;1990;19901208;615;21
BIV;1991;19911220;652;24
BIV;1992;19920330;617;46
BIV;1993;19931020;516;23
BIV;1994;19940106;501;25
BIV;1995;19950109;628;31
BIV;1996;19961112;498;21
BIV;1997;19970505;362;23

