 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
BIV;197501;19750108;29;133;104
BIV;197502;19750219;8;130;114
BIV;197503;19750318;60;182;119
BIV;197504;19750404;43;217;158
BIV;197505;19750503;18;106;38
BIV;197506;19750601;9;9;0
BIV;197507;-;0;3;0
BIV;197508;19750823;6;6;0
BIV;197509;-;0;0;0
BIV;197510;19751013;17;22;4
BIV;197511;19751130;46;48;17
BIV;197512;19751217;14;73;49
BIV;197601;19760115;16;68;52
BIV;197602;19760211;9;64;58
BIV;197603;19760306;3;52;42
BIV;197604;19760423;32;39;8
BIV;197605;19760522;2;14;1
BIV;197606;-;0;0;0
BIV;197607;19760722;16;16;1
BIV;197608;-;0;0;0
BIV;197609;19760910;19;19;2
BIV;197610;19761015;14;16;2
BIV;197611;19761111;25;37;19
BIV;197612;19761211;21;62;44
BIV;197701;19770111;48;112;84
BIV;197702;19770224;24;125;97
BIV;197703;19770328;37;109;91
BIV;197704;19770412;26;104;78
BIV;197705;19770513;8;18;2
BIV;197706;-;0;0;0
BIV;197707;-;0;0;0
BIV;197708;-;0;0;0
BIV;197709;19770921;4;4;0
BIV;197710;19771031;2;2;0
BIV;197711;19771121;15;23;8
BIV;197712;19771230;29;43;17
BIV;197801;19780111;44;102;69
BIV;197802;19780226;10;109;97
BIV;197803;19780316;25;99;85
BIV;197804;19780411;52;103;65
BIV;197805;19780514;6;31;6
BIV;197806;19780624;10;13;1
BIV;197807;19780704;5;5;0
BIV;197808;19780830;1;1;0
BIV;197809;19780930;3;0;0
BIV;197810;19781017;65;65;10
BIV;197811;19781126;19;30;4
BIV;197812;19781229;6;29;23
BIV;197901;19790128;12;55;38
BIV;197902;19790223;8;59;51
BIV;197903;19790320;42;117;73
BIV;197904;19790424;23;92;82
BIV;197905;19790502;14;84;34
BIV;197906;19790616;18;24;3
BIV;197907;-;0;0;0
BIV;197908;19790817;9;9;0
BIV;197909;19790921;48;48;8
BIV;197910;19791030;4;8;1
BIV;197911;19791115;38;84;45
BIV;197912;19791222;38;130;72
BIV;198001;19800131;17;120;108
BIV;198002;19800217;7;115;105
BIV;198003;19800323;18;122;102
BIV;198004;19800404;6;93;71
BIV;198005;19800508;10;39;7
BIV;198006;19800621;10;10;1
BIV;198007;19800709;17;17;1
BIV;198008;-;0;0;0
BIV;198009;-;0;0;0
BIV;198010;19801024;31;39;12
BIV;198011;19801126;14;26;12
BIV;198012;19801206;14;59;46
BIV;198101;19810104;32;115;91
BIV;198102;19810205;16;117;103
BIV;198103;19810317;35;119;90
BIV;198104;19810419;14;48;10
BIV;198105;19810526;34;34;3
BIV;198106;19810617;3;3;0
BIV;198107;19810718;31;31;2
BIV;198108;-;0;0;0
BIV;198109;19810928;15;15;1
BIV;198110;19811026;49;77;16
BIV;198111;19811129;23;65;38
BIV;198112;19811218;17;90;75
BIV;198201;19820129;62;152;86
BIV;198202;19820225;2;146;122
BIV;198203;19820304;19;136;123
BIV;198204;19820429;6;115;67
BIV;198205;19820508;25;50;12
BIV;198206;-;0;0;0
BIV;198207;-;0;0;0
BIV;198208;19820831;18;0;0
BIV;198209;-;0;18;1
BIV;198210;19821006;17;17;2
