 

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
AVB;201301;20130120;12;45;31
AVB;201302;20130202;15;52;45
AVB;201303;20130318;15;55;34
AVB;201304;20130419;50;50;12
AVB;201305;20130529;20;20;1
AVB;201306;-;0;15;1
AVB;201307;-;0;0;0
AVB;201308;-;0;0;0
AVB;201309;-;0;0;0
AVB;201310;-;-;-;7
AVB;201311;-;-;-;10
AVB;201312;-;-;-;25
AVB;201401;20140130;25;105;78
AVB;201402;20140219;28;122;99
AVB;201403;-;-;108;70
AVB;201404;-;-;-;7
AVB;201405;-;-;-;-
AVB;201406;-;-;-;-
AVB;201407;-;0;0;0

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
LAT;201409;-;0;0;0
LAT;201410;20141022;50;55;5
LAT;201411;20141105;36;36;5
LAT;201412;-;-;9;2
LAT;201501;20150117;14;35;20
LAT;201502;20150221;9;40;33
LAT;201503;-;-;39;19
LAT;201504;20150402;7;7;1
LAT;201505;20150520;17;18;1
LAT;201506;-;0;0;0
LAT;201507;-;0;0;0
LAT;201508;-;0;0;0
LAT;201509;-;-;-;0
LAT;201510;20151013;21;21;3
LAT;201511;20151125;3;5;1
LAT;201512;20151209;2;2;0
LAT;201601;20160109;10;24;15
LAT;201602;20160204;26;46;34
LAT;201603;20160305;38;76;47
LAT;201604;20160417;21;21;3

stn;time;hti000yx;hto000y0
LAT;2015;20151013;7

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
BIV;201301;20130116;13;61;50
BIV;201302;20130203;10;83;76
BIV;201303;20130318;20;80;65
BIV;201304;20130419;74;75;37
BIV;201305;-;0;0;0
BIV;201306;-;0;0;0
BIV;201307;-;0;0;0
BIV;201308;-;0;0;0
BIV;201309;-;0;0;0
BIV;201310;20131010;45;48;6
BIV;201311;20131114;25;38;20
BIV;201312;20131225;30;81;38
BIV;201401;20140130;24;99;73
BIV;201402;20140219;28;138;110
BIV;201403;20140322;37;136;111
BIV;201404;20140418;14;85;33
BIV;201405;-;0;0;0
BIV;201406;-;0;0;0
BIV;201407;-;-;-;0
BIV;201408;-;0;0;0
BIV;201409;-;0;0;0
BIV;201410;20141022;32;33;4
BIV;201411;20141105;35;35;3
BIV;201412;-;-;35;6
BIV;201501;-;-;73;46
