 

stn;time;hto000mx;hto000m0
SVG;201912;20191211;10;12;4
SVG;202001;20200128;14;14;7
SVG;202002;20200213;7;13;5
SVG;202003;20200310;6;6;1
SVG;202004;-;0;0;0
SVG;202005;-;0;0;0
SVG;202006;-;0;0;0
SVG;202007;-;0;0;0
SVG;202008;-;0;0;0
SVG;202009;20200925;5;5;0
SVG;202010;20201026;30;30;2
SVG;202011;-;0;4;0
SVG;202012;20201206;50;82;39
SVG;202101;20210113;49;99;56
SVG;202102;20210207;10;75;55
SVG;202103;20210321;3;24;12
SVG;202104;-;-;-;1

stn;time;hti000yx;hns000y0;hto000y0
SVG;2018;20181027;265;5
SVG;2019;20190113;248;9
SVG;2020;20201206;214;5

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SCU;201801;20180120;47;110;60
SCU;201802;20180201;14;70;57
SCU;201803;20180318;8;46;25
SCU;201804;-;0;3;0
SCU;201805;-;0;0;0
SCU;201806;-;0;0;0
SCU;201807;-;0;0;0
SCU;201808;-;0;0;0
SCU;201809;-;0;0;0
SCU;201810;20181027;24;24;1
SCU;201811;20181118;2;2;0
SCU;201812;20181209;22;31;12
SCU;201901;20190112;20;60;35
SCU;201902;20190201;37;80;57
SCU;201903;20190311;18;28;11
SCU;201904;-;0;0;0
SCU;201905;-;0;0;0
SCU;201906;-;0;0;0
SCU;201907;-;0;0;0
SCU;201908;-;0;0;0
SCU;201909;-;0;0;0
SCU;201910;-;0;0;0
SCU;201911;20191117;17;38;13
SCU;201912;20191224;20;47;21
SCU;202001;20200128;12;30;18
SCU;202002;20200204;16;24;13
SCU;202003;20200310;17;21;7
SCU;202004;-;0;0;0
SCU;202005;-;0;0;0
SCU;202006;-;0;0;0
SCU;202007;-;0;0;0
SCU;202008;-;0;0;0
SCU;202009;-;0;0;0
SCU;202010;20201026;15;15;1
SCU;202011;20201130;1;0;0
SCU;202012;20201205;40;75;37
SCU;202101;20210113;40;106;59
SCU;202102;20210207;8;83;68
SCU;202103;20210315;9;50;27
SCU;202104;-;-;-;1

stn;time;hti000yx;hns000y0;hto000y0
SCU;2018;20180120;294;13
SCU;2019;20190201;345;11
SCU;2020;20201205;234;6

stn;time;hti000mx;hns000mx;hto000mx;hto000m0
SLF7SU;201801;20180120;47;110;59
SLF7SU;201802;20180201;14;70;58
SLF7SU;201803;20180318;8;47;24
SLF7SU;201804;-;0;0;0
SLF7SU;201805;-;0;0;0
SLF7SU;201806;-;-;-;-
SLF7SU;201807;-;-;-;-
SLF7SU;201808;-;-;-;-
SLF7SU;201809;-;-;-;-
SLF7SU;201810;20181027;24;24;2
SLF7SU;201811;20181118;3;3;0
SLF7SU;201812;20181209;25;35;14
SLF7SU;201901;20190112;22;58;36
SLF7SU;201902;20190201;38;80;53
SLF7SU;201903;20190314;10;12;3
SLF7SU;201904;20190404;8;8;0
SLF7SU;201905;-;0;0;0
SLF7SU;201906;-;-;-;-
